"athlete_id","athlete_season_id","athlete_cluster","age","sex","athlete_level","event_distance_m","time_min","time_s","race_type"
"58b96bb450ad62dad11df5f738e2a5cd","8573daca46efcdd7aefea31bbb3b6478","7cba74dddf046e606d77de7e504dc06a",21,"female","college",1500,4.82718000730065,289.630800438039,"outdoor_track"
"99edebe3936baf9a6f34e66a4fe8f082","f6243a5ee8827865b129275221d76756","6ca0ed6b2f0ea579be86a42c52fe3699",22,"female","college",1609.344,5.09165346372997,305.499207823798,"indoor_track"
"885d7c9f26b656330a2c6b360f2ff121","1665ecc5c94f29c56ae3d73445d23ea0","9186654adec292311afcb5ffbafb5029",16,"female","high_school",1600,5.08816913958422,305.290148375053,"outdoor_track"
"3214bab1819b9c285a60e4f0c727ab49","1f36ca6af7d344c46db2849a9828e18a","c41a3a0606a19af04b6cbbbbfb3fbe3c",17,"male","high_school",800,2.0383466804338,122.300800826028,"outdoor_track"
"277ca2067aa4448299bc454a74a8a66e","27343d7b33931b67297f0bba082691ef","b91766e118b6302b8ab25ce8e847c941",18,"male","high_school",1600,4.22403695326609,253.442217195965,"outdoor_track"
"473aebe4af6e850c4dcb9929919ee9f5","8a06b7e32c214eb13f4ed918a1057d55","84bc5e9f62db92d00e4a97a95389b3ce",17,"male","high_school",800,1.95275308501006,117.165185100604,"outdoor_track"
"a7b30acdec8dd3347a8a3367b6ea02d2","204b65bac207faea75af0b063be0f2ca","44b588a5360680f751e9175db7f9256a",21,"female","college",3000,10.7941458211613,647.648749269675,"indoor_track"
"0288e70319a6164e2260ed8d2d37f698","102170827cf6467231bd4f03ee44b1e3","e7ac95d8bff96f174c01355e506e3f65",19,"male","college",5000,16.0297273301634,961.783639809806,"outdoor_track"
"e43f6ab0a39ad6d514977e5ef6c94015","3bb811281773bcfcfb132586f6c00dd9","7502bd0a4fcb9f19f3dcfc1669984c3f",19,"female","college",800,2.53005949163251,151.80356949795,"outdoor_track"
"90ba0523ca538e858c421a2ff3ffcf4a","80abe6a54bd3430c66bfae95cdba2c5e","03d83c7d00f50bca20694e69cf5d5d41",50,"male","masters",3000,10.8439828375904,650.638970255423,"indoor_track"
"3685a9c1b0743bbe5d84b0d17ac86014","fd5fc8ac0cf8d737a928da97175c2589","558f307a8e658aa40728ac02986b37fe",21,"male","college",1000,2.60722025086762,156.433215052057,"indoor_track"
"52a8029c1f583006b8c9ea87d66da3a0","f3b3a27ae1cb8eb3096acb46b1833084","d8a87659992336b251916bc855172569",21,"male","college",1500,4.08020401202577,244.812240721546,"outdoor_track"
"243ed15e21c297470594b87c59a7fbc9","92253ac5b2a89c72b827f0bc310c974c","9b3af11122fe2ef4a132e802167532c4",22,"female","college",1609.344,5.7416856203815,344.50113722289,"indoor_track"
"3cbbcc7d74d74a069971bd3a700e7748","dbbd8eb683eecc2834f373da2677066a","63be16e717f4a9cd901700c2bc49578f",22,"female","college",800,2.74140056830241,164.484034098145,"outdoor_track"
"e252c827ba1f1d1f0fd07036c3b941f6","16e54f0be6e717ebb5f8a8d4d0157a56","03d83c7d00f50bca20694e69cf5d5d41",72,"male","masters",10000,51.9148312202605,3114.88987321563,"outdoor_track"
"23ef4935e18ce2707e22f3566a73ba45","01db18dcd721770e8c78d137e02f43cb","63be16e717f4a9cd901700c2bc49578f",21,"female","college",1500,4.93460733305818,296.076439983491,"outdoor_track"
"5a9f3dbbdbba126eb44c6f29ff96b738","f51d655b3ed043f0ab98680a09b96698","74d50bf45f5d43ab1b5688c3b3ac34da",18,"female","high_school",1600,5.56867123404518,334.120274042711,"outdoor_track"
"86b5b57b78482a6f82b4f4ce308d323e","a04284d963824fb22caa8630b504a18e","7cba74dddf046e606d77de7e504dc06a",21,"female","college",3000,10.9661520883978,657.969125303868,"indoor_track"
"531f01b1b0e45c15df826da7591e3605","6f1971c3508a7d97c086a1ddcb76d6b5","6d4f991bcef33ce922647495af1b7581",22,"female","college",1500,5.04721262962185,302.832757777311,"outdoor_track"
"dd32e0e99362132527fd94a4d3b2311c","0ec7746154732f96058c28dbb1182752","6816f9587c84db1d33d040d524aaa64b",20,"male","college",1609.344,4.4612481946346,267.674891678076,"indoor_track"
"b716c2d5fa4217ec4c3db87209f98512","6660d787a62987cc333190c93761c742","85f09f2bf8f33b6305fe75a31080c492",28,"male","adult_bth",3200,9.46719669847439,568.031801908463,"road"
