"athlete","athlete_season_id","sex","school","school_class_year","athlete_level","year","event_name","event_distance_m","time_s"
"6a846d9c3e514e26b58688c766616963","64cf0e05ab59b89fb2d69e8c697b2a37","male","1be29407b6209d8cad9faef6a7476ac2","college_jr","college",2001,"3000m",3000,544.2
"66c356d4bd3e8fc18ccf55f24eb18e0c","16e2cf22308020049ba08f379e618d8a","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2008,"mile",1609.344,292.3
"1f97655c216d644beacb17aa2ad98269","e56994e2634ec63865d0451acce9e885","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2013,"mile",1609.344,302.2
"5edf0d3535d10d6830f88904a89a5419","51857bcb1ed3c2d2885a7c7b5527404c","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2006,"1500m",1500,290.5
"136a76e4c07230fe5608465d95e8492a","33101ccceb71170454aac1bba6cc100e","female","6c39b1013cbaef1da878a220cc79fc7b","hs_11","high_school",2007,"3200m",3200,652.3
"c66fe168ec8d2eac72f33a4e05d33073","04d8c4dca144e1ef59f7d561b6b0993b","female","1d79bb6b11177cf54afa3f162eef43a8","college_sr","college",2014,"800m",800,162.7
"af5772f9a7d2fa632aa13b78a8cab9a8","95d63a20aa6e43e8f5d97e34c6968002","female","ebd97cd1f0deaf39ecd8037fe0239c2f","hs_12","high_school",2003,"3200m",3200,667.8
"9369adbfd6ac7d89fafeb62024a0b895","98fc08acae4eac3366e783aff059ad42","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_jr","college",2005,"800m",800,117.9
"2f78e444bb140e67db487843e1cc5910","70b4bb90b9058e5ee5b41a851bc23aa2","female","c82e60cf5b08161cafe7a83e9f93f287","hs_12","high_school",2010,"1600m",1600,300.1
"9ea412b4ce46d66158af3923bb152d01","b20011ddb5f6cea7bf5f52210bc7dca3","male","bbf705815c2afdb9206a92ec17a5a91c","college_fy","college",2007,"mile",1609.344,299.8
"945ae5dee598698d908f069e2ca42544","2ecced16eb7c46d028f3f236dddc9d3e","male","49aa42fc02d118b4c4b6f401125782e8","hs_12","high_school",2007,"800m",800,116.9
"dfefa22c19f76a9ccb9cbc72244528c0","71e25b78ef0366fb9b055451af601b60","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_sr","college",2013,"800m",800,115.8
"38a6592a8f7403ee2eb6debf40c37b94","f986e313356e8ac84e22313caa396c8d","female","f753ad09a7c3b3230a748631f65f384a","hs_8","high_school",2015,"800m",800,150
"1e3d3665f6be2dcc3dffed05d1250059","24ac6d94d2ee720392dc6a470185ba3e","female","8d0284260acd153cff449e26edf348bb","college_fy","college",2017,"mile",1609.344,330.9
"17fb82e7903cac18502f0570cf92193f","2196cc49823d2ce9584aae4e8ce0a8e7","male","4a4cacefee43baa0fe3c96e4a9f4d6ae",NA,"college",2000,"3000m",3000,665.7
"01a7afd730204103a9949695b17deef7","6bf77ea602f3b62d44a868c16a5211fb","male","430fc81bf1de4c0f60e383a701875726","college_sr","college",2017,"5000m",5000,1017.7
"8c32b7c52fc537acd1876f712be632bb","5663567e777b59a693478b8743273e67","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_sr","college",2010,"3000m",3000,673.2
"2267394f45c456507ede9c31502aee71","ba3b35be9c4a2928d2340d780c3f2c63","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_sr","college",2011,"800m",800,147.6
"bea5e11742d9bb8440529e20ff9b4769","dc394634e842c2673a9991c33ab9e2bf","female","214fbbf226eb189b9f6fa112e99922c1","college_fy","college",2015,"mile",1609.344,375.2
"14845678b9ec2c2dc926501209e8a90a","bc0e0a27371d8646f6d96f7954041777","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2012,"mile",1609.344,352.3
"f1a20d0948677d22a17c2d631bf77321","1d6ef0c8318771a9285fc8c7f40fd787","female","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_jr","college",2001,"3000m",3000,683.2
"d60236d1594ebc68c4e8cb073b80fed7","dd5baa9db05c5c7da9f231449d8aaf1d","female","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2003,"1500m",1500,297.1
"9a2b3745ad68f32628099015c5e66c0a","8358f912b42ce0c06177e43fd121e9d6","female","460614fc9715df78b4af1e05d630cf20","college_fy","college",2016,"5000m",5000,1206.2
"d593047a2662200b0b91249be2825987","4450459ed88d9c36f178214e58af80b0","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2010,"3000m",3000,553.5
"311247c975224b204421e4037b2476f8","cc5e2a286a673195d130dc0329aa0bab","male","13d69bd129f7a1b2ce1b9fc1d44e0d8f","college_so","college",2013,"3000m",3000,551.5
"9ffc042a47cdbe27077addd973468683","c8e3275a215c624b7bbc2952985a3f73","female","7ffcce5a304175e0668fe203a79dcfa6","college_jr","college",2006,"mile",1609.344,318.1
"5dc400759e5d1df1466ad59dd0751961","848a6649011f8aff4574385a431571f2","male","9f159f4bd2754ddd8ac0cb9a31805a69","college_fy","college",2016,"800m",800,125.1
"12f3f7a94de471617ea4da162b25f4c2","fa576d325734d914db6a74ca516be8a3","female","96ca1f511ab8e7e38d95a55cfd88b0c9","college_fy","college",2014,"mile",1609.344,386.2
"dd816f46c6b2b2035885a3441315e874","124540b1a1e1d35527a4de08651490d2","male","12f41389f2f80db3ea75021ca7dff5ed","college_jr","college",2012,"800m",800,123.7
"c9babcb5497dcfc342c638689920e893","33300d7bfe60ea80d6e4c6aea3fd70ab","female","8d0284260acd153cff449e26edf348bb","college_so","college",2016,"1500m",1500,327.1
"7d0f40c48ac61494fe8b91c23ef11f57","b5f7011aff9f604cd5c28322793c933f","male","1e3ed3ec2364db3a993cb9db3c017757","college_fy","college",2009,"1000m",1000,165.5
"55161fd85cf858ed78b52907bf769fc9","065720de05c0aadfbd56f20db011c7ec","female","12f41389f2f80db3ea75021ca7dff5ed","college_so","college",2002,"3000m",3000,665.5
"28c69ce0795236826eaf10dd31ae9a15","1ee675dc03bb83baa084e1c0f0b7484a","female","7ffcce5a304175e0668fe203a79dcfa6","college_fy","college",2004,"1000m",1000,187.9
"73a13c1cf0b994a97808fd57f4c4749a","dd711aebcb283a82d258fd23e816f758","male","96ca1f511ab8e7e38d95a55cfd88b0c9","college_jr","college",2011,"800m",800,146.2
"ee4b3349470a848392585959abb7537e","34bb7c879ff594f8b6dbdf110f28c056","female","214fbbf226eb189b9f6fa112e99922c1","college_jr","college",2014,"800m",800,147.9
"ab1f42016fb9fd1a44f5a54b4072d199","0913036be744efa98c3d09681ec7a71e","female","1be29407b6209d8cad9faef6a7476ac2","college_fy","college",2012,"800m",800,153.3
"bea4a2f3f047ffca830c3a58d0387e52","1bf6a02a75a635901b2ee23b15fc782e","female","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2014,"3000m",3000,648.9
"3ab91900e353a63d07adbe903786bc0f","406f5da2510e38c5a3f9a01dcd290829","female","1e3ed3ec2364db3a993cb9db3c017757","college_fy","college",2008,"800m",800,147.3
"959bfe00a2ced8893c143c9f1d46b1d9","c8f542320fd2f7056f94aa723c94143b","female","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2017,"3000m",3000,665.1
"6a5de4de9887674fe075261c24902ad2","27abdd955307b8d5279237b8b53e8798","male","1e3ed3ec2364db3a993cb9db3c017757","college_fy","college",2010,"3000m",3000,599.3
"36e3feb7673ccab4ea9157fb9e14797b","1302c1cc157ba03d621588af10f51616","female","2175570fc100bd37d59949c7580a109f","hs_10","high_school",2022,"1600m",1600,299.5
"c437d3f3180d93dd2fd0a243303ac6e6","7ff011004c88828b1d63d78c6f37d6b8","female","848c1b4e52889546717ce70d413d1a5d","hs_10","high_school",2002,"800m",800,139.3
"56e7a101926df4e2a826d56467956cb6","9d4cae103996cf772ef2476bc40dc76c","male","b0d2e11be7e12705327f54833b6b78ec","hs_12","high_school",2011,"800m",800,126
"d60a36bdf8b0df8c93133f995c91f662","ebb737f1c5975ea1ae24d4af82bd5f66","male","fabfb16c18641d5efa4f7ae83fc0ec3d","hs_12","high_school",2016,"800m",800,119.5
"8776d4ac41fd2b05b321018054c2d063","deea5a8897e141fd7dc1b455078908f5","male","12f41389f2f80db3ea75021ca7dff5ed","college_fy","college",2011,"5000m",5000,972.9
"2bc68bd19439d01e553742a611f4861d","7529826067e0f44ae09dc09de5f3201b","male","bbf705815c2afdb9206a92ec17a5a91c","college_fy","college",2005,"800m",800,118.4
"3688d2d1cd7add36c974f6b2886c5523","022b7542b61df797c2aef95f9d238793","male","e210334c771a5a192e8b2f0042bf413c","hs_12","high_school",1999,"3200m",3200,600.5
"aa13de31c49ae225b21d6d9e34b8db6f","8f6a27c3747107577825a1189a6a92da","female","1be29407b6209d8cad9faef6a7476ac2","college_so","college",2014,"mile",1609.344,322.3
"6b86fd2403bed9d88e43ce69db5c2745","283743e05c91adcd40cb29d9087ee821","male","4a4cacefee43baa0fe3c96e4a9f4d6ae","college_fy","college",2006,"800m",800,129.3
